,num_if,num_else,num_switch,num_loop,num_break,num_priority,num_binSearch,num_minMax,num_sort,num_hash_map,num_hash_set,num_recursive,num_nested_loop,num_vari,num_method,num_state,complexity,complexity_class,efficiency,filename
21,2,0,0,1,0,0,0,0,0,0,0,2,0,5,3,6,n^2,quadratic,inefficient,PrintallpossiblecombinationsofrelementsinagivenarrayofsizenGeeksforGeeks-2.java
22,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,log n,logarithmic,efficient,Add1toagivennumberGeeksforGeeks-1.java
23,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,log n,logarithmic,efficient,CountsetbitsinanintegerGeeksforGeeks-7.java
24,2,1,0,6,0,0,0,0,1,0,0,2,0,13,4,14,n log n,linearithmic,efficient,MergeSortGeeksforGeeks-1.java
25,0,0,0,2,0,0,0,0,0,0,0,0,2,4,2,4,n^2,quadratic,inefficient,PascalsTriangleGeeksforGeeks-3.java
26,1,0,0,1,0,0,0,0,0,0,0,0,0,8,4,4,n,linear,efficient,ProgramforFibonaccinumbersGeeksforGeeks-4.java
27,4,0,0,0,0,0,0,0,0,0,0,1,0,2,2,7,log n,logarithmic,efficient,Programtofindwhetheragivennumberispowerof2GeeksforGeeks-3.java
28,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,4,n,linear,efficient,AverageofastreamofnumbersGeeksforGeeks-1.java
29,10,0,0,0,0,0,0,4,0,0,0,0,0,9,4,20,1,constant,efficient,HowtocheckiftwogivenlinesegmentsintersectGeeksforGeeks-1.java
30,4,0,0,1,0,0,0,0,0,0,0,2,0,9,5,14,n,linear,efficient,KthSmallestLargestElementinUnsortedArraySet2ExpectedLinearTimeGeeksforGeeks-1.java
31,2,0,0,1,0,0,0,0,0,0,0,0,0,3,2,7,1,constant,efficient,PositionofrightmostsetbitGeeksforGeeks-5.java
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,constant,efficient,Add1toagivennumberGeeksforGeeks-2.java
33,2,0,0,2,0,0,0,0,0,0,0,1,0,4,5,12,k*n,quadratic,inefficient,Counttotalsetbitsinallnumbersfrom1tonGeeksforGeeks-3.java
34,4,0,0,5,0,0,0,2,0,0,0,1,0,15,4,16,v+e,linear,efficient,TarjansAlgorithmtofindStronglyConnectedComponentsGeeksforGeeks-1.java
35,2,0,0,3,1,0,0,0,0,0,0,0,2,5,3,9,n^2,quadratic,inefficient,BubbleSortGeeksforGeeks-2.java
36,5,0,0,7,0,0,0,0,0,0,0,0,6,11,2,17,n^2,quadratic,inefficient,CycleSortGeeksforGeeks-1.java
37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,constant,efficient,Efficientwaytomultiplywith7GeeksforGeeks-1.java
38,1,0,0,2,0,0,0,0,0,0,0,1,0,7,4,7,n,linear,efficient,LexicographicrankofastringGeeksforGeeks-1.java
39,5,1,0,3,0,0,0,0,0,0,0,1,0,8,4,13,m,linear,efficient,PatternSearchingusingaTrieofallSuffixesGeeksforGeeks-1.java
40,3,0,0,5,1,0,0,0,0,0,0,0,2,8,3,13,logv,logarithmic,efficient,VertexCoverProblemSet1IntroductionandApproximateAlgorithmGeeksforGeeks-1.java
41,1,1,0,3,0,1,0,0,2,0,0,0,2,8,2,12,n^2,quadratic,inefficient,JobSequencingProblemGeeksforGeeks-2.java
42,3,1,0,0,0,0,0,1,0,0,0,3,0,3,2,7,mn,polynomial,inefficient,ShortestCommonSupersequenceGeeksforGeeks-4.java
43,1,0,0,5,0,0,0,0,1,0,0,0,0,12,2,13,n,linear,efficient,SuffixArraySet1IntroductionGeeksforGeeks-1.java
44,1,0,0,6,0,0,0,8,1,0,0,0,2,15,3,14,n,linear,efficient,BoxStackingProblemDP22GeeksforGeeks-1.java
45,2,1,0,2,0,0,0,0,0,0,0,0,0,6,2,9,n log n,linearithmic,efficient,Counttotalsetbitsinallnumbersfrom1tonGeeksforGeeks-2.java
46,8,4,0,1,0,0,0,2,0,0,0,4,0,6,2,24,mn,polynomial,inefficient,EditDistanceDP5GeeksforGeeks-4.java
47,1,0,0,2,0,0,0,0,0,0,0,2,0,4,2,8,n^2,quadratic,inefficient,ProgramfornthCatalanNumberGeeksforGeeks-1.java
48,1,0,0,2,0,0,0,0,0,0,0,0,0,3,4,7,nlogn,linearithmic,efficient,UglyNumbersGeeksforGeeks-1.java
49,0,0,0,2,0,0,0,0,0,0,0,0,2,3,2,3,n,linear,efficient,CountDistinctNonNegativeIntegerPairsxythatSatisfytheInequalityxxyynGeeksforGeeks-1.java
50,1,0,0,5,0,1,0,0,0,0,0,0,0,11,4,14,e log v,linearithmic,efficient,DijkstrasAlgorithmforAdjacencyListRepresentationGreedyAlgo8GeeksforGeeks-1.java
51,1,0,0,1,0,0,0,0,0,0,0,0,0,5,2,3,n log n,linearithmic,efficient,FindthetwononrepeatingelementsinanarrayofrepeatingelementsUniqueNumbers2GeeksforGeeks-3.java
52,1,0,0,2,0,0,0,0,0,0,1,0,0,5,2,4,n log n,linearithmic,efficient,FindthetwononrepeatingelementsinanarrayofrepeatingelementsUniqueNumbers2GeeksforGeeks-4.java
53,3,0,0,0,0,0,0,1,0,0,0,3,0,2,3,11,n^2,quadratic,inefficient,LongestPalindromicSubsequenceDP12GeeksforGeeks-1.java
54,2,0,0,4,0,0,0,0,0,0,0,0,2,3,2,7,n^2,quadratic,inefficient,MaximumLengthChainofPairsDP20GeeksforGeeks-1.java
55,1,0,0,1,0,0,0,0,0,0,0,0,0,4,2,4,r,linear,efficient,SpaceandtimeefficientBinomialCoefficientGeeksforGeeks-1.java
56,1,0,0,2,0,0,0,0,0,0,0,0,2,3,2,7,a * b,quadratic,inefficient,WriteyouownPowerwithoutusingmultiplicationanddivisionoperatorsGeeksforGeeks-1.java
57,4,1,0,1,2,0,0,0,0,0,0,0,0,8,2,13,log n,logarithmic,efficient,MedianoftwosortedarraysofsamesizeGeeksforGeeks-1.java
58,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,constant,efficient,RotatebitsofanumberGeeksforGeeks-1.java
59,1,0,0,3,0,1,0,0,0,0,0,0,0,10,2,8,n,linear,efficient,ActivitySelectionProblemGreedyAlgo1GeeksforGeeks-3.java
60,5,0,0,5,1,0,0,0,0,0,0,0,2,8,4,17,m*no_of_chars,quadratic,inefficient,FiniteAutomataalgorithmforPatternSearchingGeeksforGeeks-1.java
61,2,0,0,2,0,0,0,1,0,0,0,0,0,6,2,8,n,linear,efficient,MinimumnumberofsquareswhosesumequalstogivennumbernGeeksforGeeks-4.java
62,2,0,0,2,0,0,0,1,1,0,0,0,0,9,5,11,n*2n,exponential,inefficient,WeightedJobSchedulingGeeksforGeeks-2.java
63,3,0,0,2,0,0,0,1,0,0,0,3,2,7,4,11,nw,quadratic,inefficient,01KnapsackProblemDP10GeeksforGeeks-4.java
64,3,0,0,0,0,0,0,0,0,0,0,2,0,2,2,7,2^n,exponential,inefficient,CoinChangeDP7GeeksforGeeks-1.java
65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,constant,efficient,TurnofftherightmostsetbitGeeksforGeeks-1.java
66,2,0,0,2,0,0,0,0,0,0,0,0,2,6,2,7,1,constant,efficient,FindtheelementthatappearsonceGeeksforGeeks-2.java
67,2,0,0,0,0,0,0,1,0,0,0,3,0,7,3,6,2^n,exponential,inefficient,LongestCommonSubsequenceDP4GeeksforGeeks-1.java
68,5,1,0,2,0,0,0,0,0,0,0,2,0,9,6,19,n log n,linearithmic,efficient,MergeSortforLinkedListsGeeksforGeeks-1.java
69,3,0,0,2,0,0,0,0,0,0,0,2,0,9,4,11,n^3,polynomial,inefficient,OptimalBinarySearchTreeDP24GeeksforGeeks-1.java
70,4,0,0,1,0,0,0,0,0,0,0,1,0,5,2,9,v^3,polynomial,inefficient,CountallpossiblewalksfromasourcetoadestinationwithexactlykedgesGeeksforGeeks-1.java
71,2,0,0,1,0,0,0,0,0,0,0,0,0,3,2,7,log n,logarithmic,efficient,Findwhetheragivennumberisapowerof4ornotGeeksforGeeks-2.java
72,2,0,0,2,0,0,0,0,0,0,1,0,0,5,2,6,m log m + n log m,linearithmic,efficient,HowtocheckiftwogivensetsaredisjointGeeksforGeeks-3.java
73,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,5,log n,logarithmic,efficient,Smallestpowerof2greaterthanorequaltonGeeksforGeeks-1.java
74,3,0,0,1,0,0,0,2,0,0,0,0,0,9,2,9,n,linear,efficient,UglyNumbersGeeksforGeeks-2.java
75,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,4,n,linear,efficient,AverageofastreamofnumbersGeeksforGeeks-2.java
76,3,0,0,7,1,0,0,1,0,0,0,1,2,12,6,22,nl,quadratic,inefficient,GivenasorteddictionaryofanalienlanguagefindorderofcharactersGeeksforGeeks-1.java
77,4,0,0,3,0,0,0,0,0,0,0,0,0,7,2,13,v+e,linear,efficient,CheckwhetheragivengraphisBipartiteornotGeeksforGeeks-1.java
78,2,0,0,3,0,0,0,0,0,0,0,1,2,9,4,8,nm,quadratic,inefficient,FindthenumberofislandsSet1UsingDFSGeeksforGeeks-1.java
79,4,0,0,4,1,0,0,0,0,0,0,1,0,13,8,20,v+e,linear,efficient,FleurysAlgorithmforprintingEulerianPathorCircuitGeeksforGeeks-1.java
80,0,0,0,4,0,1,0,0,0,0,0,0,0,9,3,7,k + O((m * log(k,linear,efficient,SortanearlysortedorKsortedarrayGeeksforGeeks-2.java
81,2,0,0,0,0,0,0,1,0,0,0,3,0,4,3,6,2^n,exponential,inefficient,01KnapsackProblemDP10GeeksforGeeks-1.java
82,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,log n,logarithmic,efficient,AddtwonumberswithoutusingarithmeticoperatorsGeeksforGeeks-2.java
83,4,0,0,3,0,0,0,0,0,0,0,0,0,9,3,13,n^2,quadratic,inefficient,ConvexHullSet1JarvissAlgorithmorWrappingGeeksforGeeks-1.java
84,4,0,0,0,0,0,0,0,0,0,0,3,0,3,2,8,2^n,exponential,inefficient,DynamicProgrammingSubsetSumProblem-1.java
85,6,1,0,0,0,0,0,0,0,0,0,0,0,8,3,11,1,constant,efficient,FinddayoftheweekforagivendateGeeksforGeeks-1.java
86,4,0,0,1,0,0,0,0,0,0,0,2,0,7,3,13,n,linear,efficient,KthSmallestLargestElementinUnsortedArraySet1GeeksforGeeks-5.java
87,2,0,0,0,0,0,0,0,0,0,0,1,0,2,3,5,1,constant,efficient,MakeafaircoinfromabiasedcoinGeeksforGeeks-1.java
88,2,0,0,2,0,0,0,1,0,0,0,2,0,3,3,10,n^3,polynomial,inefficient,PalindromePartitioningDP17GeeksforGeeks-1.java
89,10,2,0,9,2,0,0,0,0,0,0,4,2,17,4,49,9^(n*n,exponential,inefficient,SudokuBacktracking7GeeksforGeeks-2.java
90,1,0,0,3,0,0,0,0,0,0,0,0,2,5,2,5,n^2,quadratic,inefficient,FindtheminimumcosttoreachdestinationusingatrainGeeksforGeeks-2.java
91,1,0,0,0,0,0,0,0,0,0,0,2,0,3,3,3,n*(2^n,exponential,inefficient,PrintallpossiblestringsthatcanbemadebyplacingspacesGeeksforGeeks-1.java
92,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,constant,efficient,SmallestofthreeintegerswithoutcomparisonoperatorsGeeksforGeeks-3.java
93,0,0,0,2,0,0,0,1,0,0,0,0,2,6,2,4,n^2,quadratic,inefficient,CuttingaRodDP13GeeksforGeeks-1.java
94,6,0,0,3,1,0,0,0,1,0,0,3,0,10,5,21,n,linear,efficient,KthSmallestLargestElementinUnsortedArraySet3WorstCaseLinearTimeGeeksforGeeks-1.java
95,1,0,0,1,0,0,0,1,0,0,0,2,0,4,3,7,n^3,polynomial,inefficient,MinimumCostPolygonTriangulationGeeksforGeeks-1.java
96,2,0,0,2,0,0,0,0,0,1,0,0,0,5,2,9,n log n,linearithmic,efficient,FindtheelementthatappearsonceGeeksforGeeks-4.java
97,5,0,0,5,0,0,0,0,0,0,0,1,2,13,5,22,1,constant,efficient,NQueenProblemusingBranchAndBoundGeeksforGeeks-1.java
98,2,1,0,1,0,0,0,0,0,0,0,0,0,5,2,5,1,constant,efficient,SelectarandomnumberfromstreamwithO1spaceGeeksforGeeks-1.java
99,2,0,0,3,0,0,0,2,0,0,0,0,0,9,2,8,n^2,quadratic,inefficient,MaximumprofitbybuyingandsellingashareatmosttwiceGeeksforGeeks-1.java
100,1,0,0,3,0,0,0,1,0,0,0,0,2,5,2,9,n,linear,efficient,MinimumnumberofsquareswhosesumequalstogivennumbernGeeksforGeeks-5.java
101,12,0,0,4,0,0,0,2,0,0,0,1,0,15,4,26,v+e,linear,efficient,BiconnectedgraphGeeksforGeeks-1.java
102,0,0,0,6,0,0,0,0,1,0,0,0,0,11,2,7,n+k,linear,efficient,CountingSortGeeksforGeeks-1.java
103,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,log n,logarithmic,efficient,CountsetbitsinanintegerGeeksforGeeks-3.java
104,1,0,0,3,0,0,0,0,1,0,0,0,2,9,3,5,n^2,quadratic,inefficient,SelectionSortGeeksforGeeks-1.java
105,1,0,0,2,0,0,0,0,0,0,0,1,0,5,2,8,n*(2^n,exponential,inefficient,PrintallpossiblestringsthatcanbemadebyplacingspacesGeeksforGeeks-2.java
106,2,0,0,2,0,0,0,1,0,0,0,0,2,7,3,8,mn,polynomial,inefficient,ShortestCommonSupersequenceGeeksforGeeks-1.java
107,2,0,0,2,0,0,0,1,0,0,0,0,2,6,3,8,nw,quadratic,inefficient,01KnapsackProblemDP10GeeksforGeeks-2.java
108,6,2,0,2,0,0,0,0,0,0,0,0,0,9,3,17,n,linear,efficient,KMPAlgorithmforPatternSearchingGeeksforGeeks-1.java
109,1,0,0,3,0,0,0,0,0,0,0,0,2,5,3,7,n^3,polynomial,inefficient,PascalsTriangleGeeksforGeeks-1.java
110,2,0,0,2,0,0,0,0,0,0,0,0,2,5,3,6,1,constant,efficient,Howtocheckifaninstanceof8puzzleissolvableGeeksforGeeks-1.java
111,2,0,0,5,0,0,0,0,0,0,0,0,2,8,2,8,n + range,linear,efficient,PigeonholeSortGeeksforGeeks-1.java
112,3,1,0,9,0,0,0,0,0,0,0,2,3,21,5,26,m^2k + k^3 log n,exponential,inefficient,CountwaystoreachthenthstairGeeksforGeeks-8.java
113,0,0,0,4,0,0,0,2,0,0,0,0,2,5,2,9,mn,polynomial,inefficient,MinCostPathDP6GeeksforGeeks-3.java
114,6,0,0,3,0,0,0,0,0,0,0,1,2,3,3,20,n,linear,efficient,MobileNumericKeypadProblemGeeksforGeeks-1.java
115,3,0,0,3,0,0,0,0,0,0,0,0,2,4,2,9,n*log(log(n,linearithmic,efficient,SieveofEratosthenesGeeksforGeeks-2.java
116,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,2^n,exponential,inefficient,TilingProblemGeeksforGeeks-1.java
117,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,log n,logarithmic,efficient,Findwhetheragivennumberisapowerof4ornotGeeksforGeeks-6.java
118,2,0,0,3,0,0,0,1,0,0,0,0,2,5,3,9,n^2,quadratic,inefficient,LongestPalindromicSubsequenceDP12GeeksforGeeks-2.java
119,2,0,0,1,0,0,0,0,0,0,0,2,0,5,2,6,n^3,polynomial,inefficient,MatrixChainMultiplicationDP8GeeksforGeeks-1.java
120,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,3,log n,logarithmic,efficient,PositionofrightmostsetbitGeeksforGeeks-3.java
121,1,0,0,2,0,0,0,0,0,0,0,0,0,7,2,4,n,linear,efficient,ReservoirSamplingGeeksforGeeks-1.java
122,1,0,0,1,0,0,0,0,0,0,0,1,0,8,2,5,n,linear,efficient,WriteaprogramtoprintallpermutationsofagivenstringGeeksforGeeks-2.java
123,1,1,0,2,0,0,0,0,0,0,0,0,0,2,2,9,num * |num|,quadratic,inefficient,GivenanumberfindthenextsmallestpalindromeGeeksforGeeks-1.java
124,3,0,0,0,0,0,0,0,0,0,0,1,0,2,2,6,n,linear,efficient,LuckyNumbersGeeksforGeeks-1.java
125,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,5,log n,logarithmic,efficient,WriteyouownPowerwithoutusingmultiplicationanddivisionoperatorsGeeksforGeeks-3.java
126,11,2,0,5,0,0,0,0,2,0,0,0,0,10,3,30,n,linear,efficient,Findthelargestmultipleof3Set1UsingQueueGeeksforGeeks-1.java
127,2,0,0,1,0,0,0,0,0,0,0,2,0,4,3,7,2^n,exponential,inefficient,FindtheminimumcosttoreachdestinationusingatrainGeeksforGeeks-1.java
128,7,3,0,0,0,0,0,2,0,0,0,2,0,7,3,23,n,linear,efficient,MedianoftwosortedarraysofsamesizeGeeksforGeeks-2.java
129,0,0,0,2,0,0,0,1,0,0,0,0,2,4,2,5,n,linear,efficient,MinimumnumberofsquareswhosesumequalstogivennumbernGeeksforGeeks-3.java
130,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,9,log n,logarithmic,efficient,Programtofindwhetheragivennumberispowerof2GeeksforGeeks-2.java
131,3,0,0,1,0,0,0,1,1,0,0,2,0,7,5,11,n*2n,exponential,inefficient,WeightedJobSchedulingGeeksforGeeks-1.java
132,1,0,0,1,0,0,0,0,1,0,0,0,0,5,4,5,n,linear,efficient,ActivitySelectionProblemGreedyAlgo1GeeksforGeeks-2.java
133,3,0,0,0,0,0,0,1,0,0,0,3,0,2,3,11,n^2,quadratic,inefficient,LongestPalindromicSubsequenceDP12GeeksforGeeks-3.java
134,3,0,0,3,0,0,0,0,0,0,0,1,0,9,7,14,nlogn,linearithmic,efficient,QuickSortonDoublyLinkedListGeeksforGeeks-2.java
135,6,0,0,1,0,0,0,0,0,0,0,1,0,3,2,11,log n,logarithmic,efficient,WriteanEfficientMethodtoCheckifaNumberisMultipleof3GeeksforGeeks-1.java
136,4,0,0,4,0,0,0,0,0,0,0,0,4,8,2,13,v^3,polynomial,inefficient,CountallpossiblewalksfromasourcetoadestinationwithexactlykedgesGeeksforGeeks-2.java
137,5,0,0,3,0,0,0,0,0,0,0,1,0,7,4,14,v+e,linear,efficient,DetectCycleinaDirectedGraphGeeksforGeeks-1.java
138,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,n,linear,efficient,ProgramforFibonaccinumbersGeeksforGeeks-1.java
139,0,0,0,5,0,0,0,2,0,0,0,0,0,11,3,10,n+k,linear,efficient,CountingSortGeeksforGeeks-2.java
140,4,0,0,2,0,0,0,0,0,0,0,1,0,5,3,10,sum,linear,efficient,CountofndigitnumberswhosesumofdigitsequalstogivensumGeeksforGeeks-1.java
141,2,0,0,1,0,0,0,0,0,0,0,0,0,4,2,6,n,linear,efficient,LargestSumContiguousSubarrayGeeksforGeeks-4.java
142,1,0,0,1,0,0,0,0,2,0,0,0,0,7,2,4,log n,logarithmic,efficient,MedianoftwosortedarraysofsamesizeGeeksforGeeks-3.java
143,3,0,0,1,0,0,0,0,2,0,0,0,0,5,2,7,m+n,linear,efficient,HowtocheckiftwogivensetsaredisjointGeeksforGeeks-2.java
144,2,0,0,4,0,0,0,0,0,0,0,0,2,10,3,13,n^2,quadratic,inefficient,MultiplytwopolynomialsGeeksforGeeks-1.java
145,3,0,0,2,0,0,0,2,0,0,0,0,0,6,2,11,n^1/2,sublinear,efficient,JumpSearchGeeksforGeeks-1.java
146,5,0,0,0,0,0,0,1,0,0,0,4,0,2,3,12,3^m,exponential,inefficient,EditDistanceDP5GeeksforGeeks-1.java
147,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,1,constant,efficient,Generateintegerfrom1to7withequalprobabilityGeeksforGeeks-2.java
148,2,1,0,6,0,0,0,1,0,0,0,2,2,9,2,17,n log n,linearithmic,efficient,LongestIncreasingSubsequenceDP3GeeksforGeeks-3.java
149,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,7,y,linear,efficient,MultiplytwointegerswithoutusingmultiplicationdivisionandbitwiseoperatorsandnoloopsGeeksforGeeks-1.java
150,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,n,linear,efficient,WriteaprogramtocalculatepowxnGeeksforGeeks-5.java
151,3,0,0,1,0,0,0,0,0,0,0,1,0,4,3,8,n log n,linearithmic,efficient,LongestIncreasingSubsequenceDP3GeeksforGeeks-1.java
152,0,0,0,6,0,0,0,0,1,0,0,0,0,6,4,7,n,linear,efficient,Sortnnumbersinrangefrom0ton21inlineartimeGeeksforGeeks-1.java
153,7,0,0,1,0,0,0,0,0,0,0,1,0,3,2,13,n,linear,efficient,WriteanEfficientMethodtoCheckifaNumberisMultipleof3GeeksforGeeks-2.java
154,1,1,0,1,1,0,0,0,0,0,0,0,0,4,2,5,log n,logarithmic,efficient,PositionofrightmostsetbitGeeksforGeeks-4.java
155,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,1,constant,efficient,ProgramtofindparityGeeksforGeeks-1.java
156,2,0,0,6,0,0,0,3,0,0,0,0,2,9,2,16,mn,polynomial,inefficient,Maximumsizesquaresubmatrixwithall1sGeeksforGeeks-2.java
157,2,0,0,4,0,0,0,0,0,0,0,0,3,4,2,11,n^3,polynomial,inefficient,MatrixChainMultiplicationDP8GeeksforGeeks-3.java
158,0,0,0,2,0,0,0,0,1,0,0,0,0,6,3,2,nlogn,linearithmic,efficient,SortanarrayinwaveformGeeksforGeeks-1.java
159,1,1,0,1,0,0,0,0,0,0,0,1,0,6,3,5,n,linear,efficient,WriteaprogramtoprintallpermutationsofagivenstringGeeksforGeeks-1.java
160,3,0,0,1,0,0,0,0,0,0,0,5,0,3,2,8,log n,logarithmic,efficient,Countnumbersthatdontcontain3GeeksforGeeks-1.java
161,3,0,0,3,0,0,0,0,0,0,0,0,0,9,3,10,m,linear,efficient,AnagramSubstringSearchOrSearchforallpermutationsGeeksforGeeks-1.java
162,5,0,0,4,1,0,0,0,0,0,0,1,2,9,3,18,"(min(r, n-r^2  * log(n",linearithmic,efficient,BinomialCoefficientDP9GeeksforGeeks-5.java
163,1,0,0,3,0,0,0,1,0,0,0,0,2,7,2,7,n^2,quadratic,inefficient,LongestEvenLengthSubstringsuchthatSumofFirstandSecondHalfissameGeeksforGeeks-3.java
164,2,1,0,5,0,0,0,0,0,0,0,0,2,10,3,14,n log n,linearithmic,efficient,UglyNumbersGeeksforGeeks-4.java
165,4,0,0,5,0,0,0,2,2,0,0,1,2,17,8,26,n,linear,efficient,ClosestPairofPointsusingDivideandConqueralgorithmGeeksforGeeks-1.java
166,3,0,0,1,0,0,0,0,0,0,0,0,0,4,2,7,n,linear,efficient,MinimumadjacentswapstomovemaximumandminimumtocornersGeeksforGeeks-1.java
167,2,0,0,2,1,0,0,1,0,0,0,0,2,5,2,9,n,linear,efficient,MinimumnumberofsquareswhosesumequalstogivennumbernGeeksforGeeks-2.java
168,3,0,0,4,0,0,0,0,0,0,0,0,2,5,2,12,sum*n,quadratic,inefficient,PartitionproblemDP18GeeksforGeeks-4.java
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,constant,efficient,Programtofindwhetheragivennumberispowerof2GeeksforGeeks-4.java
170,0,0,0,2,0,0,0,0,0,0,0,0,2,4,3,5,mn,polynomial,inefficient,CountwaystoreachthenthstairGeeksforGeeks-4.java
171,4,1,0,5,0,0,0,0,0,0,0,0,3,15,2,20,n^3,polynomial,inefficient,Maximumsumrectangleina2DmatrixDP27GeeksforGeeks-1.java
172,3,0,0,0,0,0,0,1,0,0,0,3,0,1,3,8,mn,polynomial,inefficient,MinCostPathDP6GeeksforGeeks-1.java
173,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,3,1,constant,efficient,SwapalloddandevenbitsGeeksforGeeks-1.java
174,3,1,0,1,0,0,0,1,0,0,0,0,0,3,5,16,n^2,quadratic,inefficient,WordWrapProblemDP19GeeksforGeeks-1.java
175,2,0,0,2,1,0,0,1,0,0,0,0,2,3,2,10,n^2,quadratic,inefficient,MinimumnumberofjumpstoreachendGeeksforGeeks-2.java
176,4,0,0,0,0,0,0,1,0,0,0,6,0,4,4,9,n,linear,efficient,VertexCoverProblemSet2DynamicProgrammingSolutionforTreeGeeksforGeeks-1.java
177,3,3,0,2,0,0,0,0,0,0,0,0,0,9,3,15,log n,logarithmic,efficient,Counttotalsetbitsinallnumbersfrom1tonGeeksforGeeks-6.java
